PICKING,200102,18/05/09,21:34:33,A200,WRN展開表SCN,,,,,,20180324,,                                                                                                                                                                                             
PICKING,200102,18/05/09,21:46:47,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:46:50,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:46:51,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:46:52,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:46:53,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:46:54,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:47:02,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:47:03,A200,ERR元QRを確認して下さい,,,2P463024-4,,,20180324,200,                                                                                                                                                                     
PICKING,200102,18/05/09,21:48:47,A200,ERR元QRを確認して下さい,,,2P222222-7,,,20180324,120,                                                                                                                                                                     
PICKING,200102,18/05/09,21:48:49,A200,ERR元QRを確認して下さい,,,2P222222-7,,,20180324,120,                                                                                                                                                                     
PICKING,200102,18/05/09,21:48:50,A200,ERR元QRを確認して下さい,,,2P222222-7,,,20180324,120,                                                                                                                                                                     
PICKING,200102,18/05/09,21:48:51,A200,ERR元QRを確認して下さい,,,2P222222-7,,,20180324,120,                                                                                                                                                                     
PICKING,200102,18/05/09,21:48:51,A200,ERR元QRを確認して下さい,,,2P222222-7,,,20180324,120,                                                                                                                                                                     
PICKING,200102,18/05/09,21:54:25,A200,WRN照合元SCN,,,2P222222-7,,,20180324,200,                                                                                                                                                                                
PICKING,200102,18/05/09,21:54:29,A200,WRN照合元SCN,,,2P222222-7,,,20180324,200,                                                                                                                                                                                
PICKING,200102,18/05/09,22:10:42,A200,OK,,,2P222222-7,2P463024-4,,20180324,120,                                                                                                                                                                                
PICKING,200102,18/05/09,22:10:51,A200,OK,,,2P222222-7,2P463024-4,,20180324,120,                                                                                                                                                                                
PICKING,200102,18/05/09,22:10:56,A200,OK,,,2P222222-7,2P463024-4,,20180324,120,                                                                                                                                                                                
PICKING,200102,18/05/09,22:11:47,A200,OK,,,2P222222-7,2P463024-4,,20180324,200,                                                                                                                                                                                
PICKING,200102,18/05/09,22:11:54,A200,OK,,,2P222222-7,2P463024-4,,20180324,200,                                                                                                                                                                                
PICKING,200102,18/05/09,22:12:57,A200,WRN照合元SCN,700899,Z2F37008992P463024-4        15    801180807500000003P6             265 553193       60    TEST60,2P463024-4,,,20180324,60,                                                                           
PICKING,200102,18/05/09,22:13:00,A200,OK,700899,Z2F37008992P463024-4        15    801180807500000003P6             265 553193       60    TEST60,2P463024-4,2P123456-7,,20180324,60,                                                                           
PICKING,200102,18/05/09,22:13:04,A200,WRN照合元SCN,700899,Z2F37008992P463024-4        15    801180807500000003P6             265 553193       60    TEST60,2P463024-4,2P123456-7,,20180324,60,                                                                 
PICKING,200102,18/05/09,22:13:06,A200,OK,700899,Z2F37008992P463024-4        15    801180807500000003P6             265 553193       60    TEST60,2P463024-4,2P222222-7,,20180324,60,                                                                           
